,name,ageDuringRace,points
2597,Carlos Sainz,26,8.0
2598,Max Verstappen,18,0.0
2599,Max Verstappen,19,12.0
2600,Max Verstappen,20,10.0
2601,Max Verstappen,21,15.0
2602,Max Verstappen,22,18.0
2603,Max Verstappen,23,25.0
2604,Roberto Merhi,24,0.0
2605,Jolyon Palmer,25,0.0
2606,Pascal Wehrlein,22,0.0
2607,Pascal Wehrlein,23,0.0
2608,Stoffel Vandoorne,25,0.0
2609,Stoffel Vandoorne,26,0.0
2610,Esteban Ocon,20,0.0
2611,Esteban Ocon,21,4.0
2612,Esteban Ocon,22,0.0
2613,Esteban Ocon,24,2.0
2614,Antonio Giovinazzi,25,0.0
2615,Antonio Giovinazzi,27,0.0
2616,Lance Stroll,19,0.0
2617,Lance Stroll,20,0.0
2618,Lance Stroll,21,0.0
2619,Lance Stroll,22,1.0
2620,Pierre Gasly,21,0.0
2621,Pierre Gasly,22,0.0
2622,Pierre Gasly,23,0.0
2623,Pierre Gasly,24,4.0
2624,Brendon Hartley,28,0.0
2625,Brendon Hartley,29,0.0
2626,Charles Leclerc,21,6.0
2627,Charles Leclerc,22,15.0
2628,Charles Leclerc,23,0.0
2629,Sergey Sirotkin,23,0.0
2630,Lando Norris,20,4.0
2631,Lando Norris,21,10.0
2632,Alexander Albon,23,8.0
2633,Alexander Albon,24,12.0
2634,George Russell,21,0.0
2635,George Russell,22,0.0
2636,Robert Kubica,35,0.0
2637,Nicholas Latifi,25,0.0
2638,Pietro Fittipaldi,24,0.0
2640,Nico Rosberg,30,25.0
2641,Nico Rosberg,31,18.0
2642,Kevin Magnussen,24,0.0
2643,Kevin Magnussen,25,4.0
2644,Kevin Magnussen,26,0.0
2645,Kevin Magnussen,27,0.0
2646,Jenson Button,35,0.0
2647,Jenson Button,36,0.0
2648,Fernando Alonso,34,0.0
2649,Fernando Alonso,35,0.0
2650,Fernando Alonso,36,1.0
2651,Fernando Alonso,37,0.0
2652,Valtteri Bottas,26,15.0
2653,Valtteri Bottas,27,4.0
2654,Valtteri Bottas,28,18.0
2655,Valtteri Bottas,29,10.0
2656,Valtteri Bottas,30,15.0
2657,Nico Hülkenberg,28,6.0
2658,Nico Hülkenberg,29,6.0
2659,Nico Hülkenberg,30,0.0
2660,Nico Hülkenberg,31,8.0
2661,Nico Hülkenberg,32,1.0
2662,Kimi Räikkönen,36,0.0
2663,Kimi Räikkönen,37,8.0
2664,Kimi Räikkönen,38,15.0
2665,Kimi Räikkönen,39,15.0
2666,Kimi Räikkönen,40,0.0
2667,Daniil Kvyat,21,12.0
2668,Daniil Kvyat,22,0.0
2669,Daniil Kvyat,25,0.0
2670,Sergio Pérez,25,4.0
2671,Sergio Pérez,26,1.0
2672,Sergio Pérez,27,6.0
2673,Sergio Pérez,28,0.0
2674,Sergio Pérez,29,6.0
2675,Esteban Gutiérrez,25,0.0
2676,Romain Grosjean,29,1.0
2677,Romain Grosjean,30,0.0
