,season,name,fault
1239,2017,Pascal Wehrlein,1
1240,2016,Rio Haryanto,0
1241,2017,Stoffel Vandoorne,1
1242,2018,Stoffel Vandoorne,1
1243,2017,Esteban Ocon,1
1244,2018,Esteban Ocon,1
1245,2020,Esteban Ocon,1
1246,2020,Esteban Ocon,1
1247,2019,Antonio Giovinazzi,0
1248,2020,Antonio Giovinazzi,1
1249,2020,Antonio Giovinazzi,1
1250,2017,Lance Stroll,1
1251,2018,Lance Stroll,1
1252,2019,Lance Stroll,1
1253,2020,Lance Stroll,1
1254,2020,Lance Stroll,1
1255,2018,Pierre Gasly,1
1256,2019,Pierre Gasly,1
1257,2020,Pierre Gasly,1
1258,2020,Pierre Gasly,1
1260,2018,Charles Leclerc,0
1261,2019,Charles Leclerc,1
1262,2020,Charles Leclerc,1
1263,2020,Charles Leclerc,1
1264,2018,Sergey Sirotkin,1
1265,2019,Lando Norris,1
1266,2020,Lando Norris,1
1267,2020,Lando Norris,1
1268,2019,Alexander Albon,1
1269,2020,Alexander Albon,1
1270,2020,Alexander Albon,1
1271,2019,George Russell,1
1272,2020,George Russell,1
1273,2020,George Russell,1
1274,2019,Robert Kubica,1
1275,2020,Nicholas Latifi,1
1276,2020,Nicholas Latifi,1
1278,2014,Nico Rosberg,1
1279,2016,Nico Rosberg,1
1280,2014,Kevin Magnussen,1
1281,2016,Kevin Magnussen,1
1282,2018,Kevin Magnussen,1
1283,2019,Kevin Magnussen,1
1284,2014,Jenson Button,1
1285,2016,Jenson Button,1
1286,2014,Fernando Alonso,1
1287,2016,Fernando Alonso,1
1288,2018,Fernando Alonso,0
1289,2014,Valtteri Bottas,1
1290,2016,Valtteri Bottas,1
1291,2018,Valtteri Bottas,1
1292,2019,Valtteri Bottas,0
1293,2014,Nico Hülkenberg,1
1294,2016,Nico Hülkenberg,1
1295,2018,Nico Hülkenberg,1
1296,2019,Nico Hülkenberg,0
1297,2014,Kimi Räikkönen,1
1298,2016,Kimi Räikkönen,1
1299,2018,Kimi Räikkönen,1
1300,2019,Kimi Räikkönen,1
1301,2014,Jean-Éric Vergne,1
1303,2016,Daniil Kvyat,1
1304,2019,Daniil Kvyat,1
1305,2014,Sergio Pérez,1
1306,2016,Sergio Pérez,1
1307,2018,Sergio Pérez,1
1308,2019,Sergio Pérez,0
1310,2014,Esteban Gutiérrez,1
1311,2016,Esteban Gutiérrez,1
1312,2014,Max Chilton,1
1313,2014,Jules Bianchi,1
1315,2016,Romain Grosjean,1
1316,2018,Romain Grosjean,1
1317,2019,Romain Grosjean,1
1318,2014,Pastor Maldonado,1
1319,2014,Marcus Ericsson,1
1320,2016,Marcus Ericsson,1
1321,2018,Marcus Ericsson,1
1322,2014,Sebastian Vettel,1
1323,2016,Sebastian Vettel,1
1324,2018,Sebastian Vettel,0
1325,2019,Sebastian Vettel,1
1326,2014,Lewis Hamilton,1
1327,2016,Lewis Hamilton,1
1328,2018,Lewis Hamilton,1
1329,2019,Lewis Hamilton,1
1330,2014,Felipe Massa,0
1332,2014,Kamui Kobayashi,1
1333,2014,Daniel Ricciardo,1
1334,2016,Daniel Ricciardo,1
1338,2016,Carlos Sainz,1
1339,2018,Carlos Sainz,1
1340,2019,Carlos Sainz,1
1341,2016,Max Verstappen,1
1342,2018,Max Verstappen,1
1343,2019,Max Verstappen,1
1344,2016,Jolyon Palmer,1
1345,2016,Pascal Wehrlein,1
1346,2016,Rio Haryanto,1
1347,2018,Stoffel Vandoorne,1
1348,2018,Esteban Ocon,1
1349,2019,Antonio Giovinazzi,1
1351,2019,Lance Stroll,1
1352,2018,Pierre Gasly,1
1353,2019,Pierre Gasly,0
1354,2018,Brendon Hartley,1
1355,2018,Charles Leclerc,1
1356,2019,Charles Leclerc,0
1359,2019,Alexander Albon,1
1360,2019,George Russell,1
1361,2019,Robert Kubica,1
1362,2014,Nico Rosberg,1
1363,2015,Nico Rosberg,1
1364,2016,Nico Rosberg,1
1365,2014,Kevin Magnussen,1
1366,2016,Kevin Magnussen,1
1367,2017,Kevin Magnussen,1
1368,2018,Kevin Magnussen,1
1369,2019,Kevin Magnussen,1
1370,2020,Kevin Magnussen,1
1371,2014,Jenson Button,1
1372,2015,Jenson Button,1
1374,2014,Fernando Alonso,1
1375,2015,Fernando Alonso,1
1376,2016,Fernando Alonso,1
1377,2017,Fernando Alonso,1
1378,2018,Fernando Alonso,1
1379,2014,Valtteri Bottas,1
1380,2015,Valtteri Bottas,1
1381,2016,Valtteri Bottas,1
1382,2017,Valtteri Bottas,1
1383,2018,Valtteri Bottas,1
1384,2019,Valtteri Bottas,1
1385,2020,Valtteri Bottas,1
1386,2014,Nico Hülkenberg,0
1387,2015,Nico Hülkenberg,0
1388,2016,Nico Hülkenberg,1
1390,2018,Nico Hülkenberg,1
1391,2019,Nico Hülkenberg,1
1392,2014,Kimi Räikkönen,1
1394,2016,Kimi Räikkönen,1
1395,2017,Kimi Räikkönen,1
1396,2018,Kimi Räikkönen,1
