,season,constructor,fault
896,2017,mercedes,0
897,2018,mercedes,0
898,2019,mercedes,0
900,2015,williams,0
903,2014,caterham,1
904,2014,red_bull,0
905,2015,red_bull,0
906,2016,red_bull,0
907,2017,red_bull,0
908,2018,red_bull,0
909,2019,renault,0
910,2015,manor,0
911,2015,alfa,0
912,2016,alfa,0
913,2015,alphatauri,0
914,2016,alphatauri,0
916,2018,renault,0
917,2019,mclaren,0
918,2015,alphatauri,0
919,2016,red_bull,0
920,2017,red_bull,1
921,2018,red_bull,0
922,2019,red_bull,0
925,2017,renault,0
926,2016,manor,0
927,2017,alfa,0
928,2016,manor,0
929,2017,mclaren,0
930,2018,mclaren,0
931,2017,racing_point,0
932,2018,racing_point,0
933,2019,alfa,0
934,2017,williams,0
936,2019,racing_point,0
937,2018,alphatauri,0
938,2019,red_bull,0
940,2018,alfa,0
941,2019,ferrari,0
942,2018,williams,0
943,2019,mclaren,1
945,2019,williams,0
946,2019,williams,0
947,2014,mercedes,0
948,2015,mercedes,0
949,2016,mercedes,0
950,2014,mclaren,0
951,2016,renault,0
952,2017,haas,1
953,2018,haas,0
954,2019,haas,0
955,2020,haas,1
956,2020,haas,0
957,2014,mclaren,0
959,2016,mclaren,0
960,2014,ferrari,0
962,2016,mclaren,1
964,2018,mclaren,0
965,2021,renault,0
966,2021,renault,0
967,2014,williams,0
968,2015,williams,0
969,2016,williams,0
970,2017,mercedes,0
971,2018,mercedes,1
972,2019,mercedes,0
973,2020,mercedes,0
974,2020,mercedes,0
975,2021,mercedes,0
976,2021,mercedes,0
977,2014,racing_point,0
978,2015,racing_point,0
979,2016,racing_point,1
980,2017,renault,0
981,2018,renault,1
982,2019,renault,0
983,2014,ferrari,0
985,2016,ferrari,0
986,2017,ferrari,0
987,2018,ferrari,0
988,2019,alfa,0
989,2020,alfa,1
990,2020,alfa,0
991,2021,alfa,0
992,2021,alfa,0
993,2014,alphatauri,1
994,2014,alphatauri,1
995,2015,red_bull,0
997,2017,alphatauri,0
998,2019,alphatauri,0
999,2020,alphatauri,1
1000,2020,alphatauri,0
1001,2014,racing_point,0
1002,2015,racing_point,0
1003,2016,racing_point,1
1004,2017,racing_point,0
1005,2018,racing_point,0
1006,2019,racing_point,0
1007,2020,racing_point,0
1008,2020,racing_point,0
1009,2021,red_bull,0
1010,2021,red_bull,0
1011,2014,alfa,0
1012,2014,alfa,0
1013,2016,haas,0
1014,2014,manor,0
1015,2014,manor,0
1016,2014,renault,0
1017,2015,renault,1
1018,2016,haas,0
1019,2017,haas,0
1020,2018,haas,0
1021,2019,haas,0
1022,2020,haas,1
1023,2020,haas,0
1024,2014,renault,0
1025,2015,renault,0
1026,2014,caterham,0
1027,2015,alfa,0
1028,2016,alfa,0
1029,2017,alfa,0
1030,2018,alfa,0
1031,2014,red_bull,1
1032,2015,ferrari,0
1034,2017,ferrari,0
1035,2018,ferrari,0
1036,2019,ferrari,0
1037,2020,ferrari,0
1039,2021,racing_point,0
1041,2014,mercedes,0
1042,2015,mercedes,0
1043,2016,mercedes,0
1044,2017,mercedes,0
