,constructor,fault
1237,renault,0
1239,alfa,1
1241,mclaren,1
1242,mclaren,1
1243,racing_point,1
1244,racing_point,1
1245,renault,1
1246,renault,1
1248,alfa,1
1249,alfa,1
1250,williams,1
1251,williams,1
1252,racing_point,1
1253,racing_point,1
1254,racing_point,1
1255,alphatauri,1
1256,red_bull,1
1257,alphatauri,1
1258,alphatauri,1
1259,alphatauri,0
1261,ferrari,1
1262,ferrari,1
1263,ferrari,1
1264,williams,1
1265,mclaren,1
1266,mclaren,1
1267,mclaren,1
1268,alphatauri,1
1269,red_bull,1
1270,red_bull,1
1271,williams,1
1272,williams,1
1273,williams,1
1274,williams,1
1275,williams,1
1276,williams,1
1277,,0
1278,mercedes,1
1279,mercedes,1
1280,mclaren,1
1281,renault,1
1282,haas,1
1283,haas,1
1284,mclaren,1
1285,mclaren,1
1286,ferrari,1
1287,mclaren,1
1289,williams,1
1290,williams,1
1291,mercedes,1
1293,racing_point,1
1294,racing_point,1
1295,renault,1
1297,ferrari,1
1298,ferrari,1
1299,ferrari,1
1300,alfa,1
1301,alphatauri,1
1302,alphatauri,0
1303,alphatauri,1
1304,alphatauri,1
1305,racing_point,1
1306,racing_point,1
1307,racing_point,1
1309,alfa,0
1310,alfa,1
1311,haas,1
1312,manor,1
1313,manor,1
1314,renault,0
1315,haas,1
1316,haas,1
1317,haas,1
1318,renault,1
1319,caterham,1
1320,alfa,1
1321,alfa,1
1322,red_bull,1
1323,ferrari,1
1325,ferrari,1
1326,mercedes,1
1327,mercedes,1
1328,mercedes,1
1329,mercedes,1
1331,williams,0
1332,caterham,1
1333,red_bull,1
1334,red_bull,1
1335,red_bull,0
1336,renault,0
1337,alfa,0
1338,alphatauri,1
1339,renault,1
1340,mclaren,1
1341,red_bull,1
1342,red_bull,1
1343,red_bull,1
1344,renault,1
1345,manor,1
1346,manor,1
1347,mclaren,1
1348,racing_point,1
1349,alfa,1
1350,williams,0
1351,racing_point,1
1352,alphatauri,1
1354,alphatauri,1
1355,alfa,1
1357,williams,0
1358,mclaren,0
1359,alphatauri,1
1360,williams,1
1361,williams,1
1362,mercedes,1
1363,mercedes,1
1364,mercedes,1
1365,mclaren,1
1366,renault,1
1367,haas,1
1368,haas,1
1369,haas,1
1370,haas,1
1371,mclaren,1
1372,mclaren,1
1373,mclaren,0
1374,ferrari,1
1375,mclaren,1
1376,mclaren,1
1377,mclaren,1
1378,mclaren,1
1379,williams,1
1380,williams,1
1381,williams,1
1382,mercedes,1
1383,mercedes,1
1384,mercedes,1
1385,mercedes,1
1388,racing_point,1
1389,renault,0
1390,renault,1
1391,renault,1
1392,ferrari,1
1393,ferrari,0
1394,ferrari,1
1395,ferrari,1
1396,ferrari,1
1397,alfa,1
1398,alfa,1
1399,alphatauri,1
1400,alphatauri,1
1401,red_bull,1
1402,alphatauri,1
1403,alphatauri,1
1404,alphatauri,1
1405,alphatauri,1
1407,racing_point,0
1408,racing_point,1
1409,racing_point,1
1410,racing_point,1
1411,racing_point,1
1412,racing_point,1
1413,alfa,1
1415,haas,1
1416,manor,1
1417,manor,1
1419,renault,1
1420,haas,1
1421,haas,0
1422,haas,1
1423,haas,0
1424,haas,1
1425,renault,1
1426,renault,1
1428,alfa,1
1429,alfa,1
1430,alfa,1
1431,alfa,1
1432,red_bull,1
1433,ferrari,1
1434,ferrari,1
1435,ferrari,1
1436,ferrari,1
1437,ferrari,1
1438,ferrari,1
1439,mercedes,1
1440,mercedes,1
1441,mercedes,1
1442,mercedes,1
1443,mercedes,1
1444,mercedes,1
1445,mercedes,1
1446,williams,1
1447,williams,1
1448,williams,1
1450,red_bull,1
1451,red_bull,1
1452,red_bull,1
1454,red_bull,1
1455,renault,1
1456,renault,1
1457,manor,1
1458,alfa,1
1459,alfa,1
1460,alphatauri,0
1461,alphatauri,1
1462,alphatauri,1
1463,renault,1
1464,mclaren,1
1465,mclaren,1
1466,alphatauri,1
1467,red_bull,1
1468,red_bull,1
1469,red_bull,0
1470,red_bull,1
1471,red_bull,1
1472,manor,1
1473,renault,1
1474,renault,1
1475,manor,1
1476,alfa,1
1477,manor,1
1478,mclaren,1
1479,mclaren,0
1480,racing_point,1
1481,racing_point,1
1482,renault,1
1483,alfa,1
1484,alfa,1
1485,williams,1
1486,williams,1
1487,racing_point,1
1488,racing_point,1
1489,williams,0
1490,alphatauri,1
1491,red_bull,1
1492,alphatauri,0
1493,alphatauri,1
1494,alfa,0
1495,ferrari,1
1496,ferrari,1
1497,williams,1
1498,mclaren,1
1499,mclaren,1
1500,alphatauri,1
1501,red_bull,1
1502,williams,1
1503,williams,1
1504,williams,1
1505,williams,1
1506,,0
1507,mercedes,1
1508,mercedes,1
1509,mercedes,1
1510,mclaren,1
1512,haas,1
1513,haas,1
1514,haas,1
1515,haas,1
1516,mclaren,1
1517,mclaren,1
1519,ferrari,1
1520,mclaren,1
1521,mclaren,1
1522,mclaren,0
1524,williams,1
1525,williams,0
1526,williams,1
1527,mercedes,1
1528,mercedes,1
1529,mercedes,1
1530,mercedes,1
1531,racing_point,1
1532,racing_point,0
1533,racing_point,1
1534,renault,1
1536,renault,1
1537,ferrari,1
1538,ferrari,1
1539,ferrari,1
1540,ferrari,1
1541,ferrari,0
1542,alfa,1
1543,alfa,1
1544,alphatauri,1
1545,alphatauri,1
1546,red_bull,1
1547,alphatauri,1
1548,alphatauri,1
1549,alphatauri,1
1550,alphatauri,1
1551,racing_point,1
1552,racing_point,1
1553,racing_point,1
1554,racing_point,0
1555,racing_point,1
1556,racing_point,1
1557,racing_point,1
1558,alfa,1
1559,alfa,1
1560,haas,1
1561,manor,1
1562,manor,0
1564,renault,1
1565,haas,1
1566,haas,1
1567,haas,1
1568,haas,1
1569,haas,1
1570,renault,0
1571,renault,0
1572,caterham,1
1573,alfa,1
1574,alfa,0
1575,alfa,1
1576,alfa,1
1577,red_bull,1
1579,ferrari,1
1580,ferrari,1
1581,ferrari,1
1582,ferrari,1
1583,ferrari,1
1585,mercedes,1
1586,mercedes,1
1587,mercedes,1
1588,mercedes,1
1589,mercedes,1
1590,mercedes,1
1591,williams,1
1592,williams,1
1593,williams,1
1594,williams,1
1595,red_bull,1
1596,red_bull,0
1597,red_bull,1
1598,red_bull,1
1600,renault,1
1601,renault,1
1602,caterham,0
1603,manor,1
1604,manor,0
1605,alfa,1
1606,alfa,1
1607,alphatauri,0
1609,alphatauri,1
1610,renault,1
1611,mclaren,0
1612,mclaren,0
1613,alphatauri,1
1614,red_bull,1
1615,red_bull,0
1616,red_bull,1
1618,red_bull,1
1619,manor,1
1620,manor,0
1621,renault,1
1622,renault,1
1625,mclaren,1
1626,mclaren,1
1627,manor,1
1628,racing_point,1
1629,racing_point,1
1630,renault,1
1633,williams,1
1634,williams,1
1635,racing_point,1
1636,racing_point,1
1637,alphatauri,1
1638,alphatauri,1
1639,alphatauri,1
1640,alphatauri,1
1642,ferrari,1
1643,ferrari,1
1644,williams,1
1645,mclaren,0
1646,mclaren,1
1647,red_bull,1
1648,red_bull,1
1649,williams,1
1650,williams,0
1651,williams,1
1652,williams,1
1653,,0
1654,mercedes,1
1655,mercedes,1
1656,mercedes,1
1657,mclaren,1
1658,renault,1
1659,haas,1
1660,haas,1
1661,haas,0
1662,haas,0
1663,mclaren,1
1664,mclaren,1
1665,mclaren,1
1666,ferrari,0
1667,mclaren,1
1668,mclaren,1
1669,mclaren,0
1670,mclaren,0
1671,williams,1
1672,williams,1
1673,williams,1
1674,mercedes,1
1675,mercedes,1
1676,mercedes,1
1677,mercedes,1
1678,racing_point,1
1679,racing_point,1
1680,racing_point,1
1681,renault,1
1682,renault,1
1683,renault,1
1684,ferrari,1
1685,ferrari,1
1686,ferrari,1
1687,ferrari,1
1688,ferrari,1
1689,alfa,1
1690,alfa,1
1691,alphatauri,1
1692,alphatauri,1
1693,red_bull,1
1694,alphatauri,0
1695,alphatauri,1
1696,alphatauri,0
1697,alphatauri,1
1698,racing_point,1
1699,racing_point,1
1700,racing_point,1
1701,racing_point,1
1702,racing_point,1
1703,racing_point,1
1704,racing_point,1
1705,alfa,1
1706,alfa,1
1707,haas,1
1709,manor,1
1710,renault,1
1712,haas,1
1713,haas,1
1715,haas,1
1716,haas,1
1717,renault,1
1719,caterham,1
1720,alfa,1
1721,alfa,1
1722,alfa,0
1723,alfa,1
1724,red_bull,1
1725,ferrari,1
1726,ferrari,1
1727,ferrari,1
1728,ferrari,1
1729,ferrari,1
1730,ferrari,0
1731,mercedes,1
1732,mercedes,1
1733,mercedes,1
1734,mercedes,1
