,season,name,fault
559,2017,Daniil Kvyat,0
560,2019,Daniil Kvyat,0
561,2020,Daniil Kvyat,0
562,2014,Sergio Pérez,0
563,2015,Sergio Pérez,0
564,2016,Sergio Pérez,0
565,2017,Sergio Pérez,0
566,2018,Sergio Pérez,0
567,2019,Sergio Pérez,0
568,2020,Sergio Pérez,0
569,2021,Sergio Pérez,0
570,2014,Adrian Sutil,0
571,2014,Esteban Gutiérrez,0
572,2016,Esteban Gutiérrez,0
573,2014,Max Chilton,0
574,2014,Jules Bianchi,0
575,2014,Romain Grosjean,0
576,2015,Romain Grosjean,0
578,2017,Romain Grosjean,0
579,2018,Romain Grosjean,1
580,2019,Romain Grosjean,0
581,2020,Romain Grosjean,0
582,2014,Pastor Maldonado,0
583,2015,Pastor Maldonado,1
584,2014,Marcus Ericsson,0
585,2015,Marcus Ericsson,0
586,2016,Marcus Ericsson,0
587,2017,Marcus Ericsson,0
588,2018,Marcus Ericsson,0
589,2014,Sebastian Vettel,0
590,2015,Sebastian Vettel,0
591,2016,Sebastian Vettel,0
592,2017,Sebastian Vettel,0
593,2018,Sebastian Vettel,0
594,2019,Sebastian Vettel,0
595,2020,Sebastian Vettel,0
596,2021,Sebastian Vettel,0
597,2014,Lewis Hamilton,0
598,2015,Lewis Hamilton,0
599,2016,Lewis Hamilton,1
600,2017,Lewis Hamilton,0
601,2018,Lewis Hamilton,0
602,2019,Lewis Hamilton,0
603,2020,Lewis Hamilton,0
604,2021,Lewis Hamilton,0
605,2014,Felipe Massa,0
606,2015,Felipe Massa,0
607,2016,Felipe Massa,0
608,2017,Felipe Massa,0
610,2014,Daniel Ricciardo,0
611,2015,Daniel Ricciardo,0
612,2016,Daniel Ricciardo,0
613,2017,Daniel Ricciardo,0
614,2018,Daniel Ricciardo,0
615,2019,Daniel Ricciardo,0
616,2020,Daniel Ricciardo,0
617,2021,Daniel Ricciardo,0
618,2015,Will Stevens,0
619,2015,Felipe Nasr,0
620,2016,Felipe Nasr,0
621,2015,Carlos Sainz,0
622,2016,Carlos Sainz,0
623,2017,Carlos Sainz,0
624,2018,Carlos Sainz,0
625,2019,Carlos Sainz,0
626,2020,Carlos Sainz,0
627,2021,Carlos Sainz,0
628,2015,Max Verstappen,0
629,2016,Max Verstappen,0
630,2017,Max Verstappen,1
631,2018,Max Verstappen,0
632,2019,Max Verstappen,0
633,2020,Max Verstappen,0
634,2021,Max Verstappen,0
635,2015,Roberto Merhi,0
636,2016,Jolyon Palmer,0
637,2017,Jolyon Palmer,0
638,2016,Pascal Wehrlein,0
639,2017,Pascal Wehrlein,0
640,2016,Rio Haryanto,0
641,2017,Stoffel Vandoorne,1
643,2017,Esteban Ocon,0
645,2020,Esteban Ocon,0
646,2021,Esteban Ocon,0
647,2019,Antonio Giovinazzi,0
648,2020,Antonio Giovinazzi,0
649,2021,Antonio Giovinazzi,0
650,2017,Lance Stroll,0
651,2018,Lance Stroll,0
652,2019,Lance Stroll,1
653,2020,Lance Stroll,0
654,2021,Lance Stroll,0
655,2018,Pierre Gasly,1
656,2019,Pierre Gasly,0
657,2020,Pierre Gasly,0
658,2021,Pierre Gasly,0
659,2018,Brendon Hartley,0
660,2018,Charles Leclerc,0
661,2019,Charles Leclerc,0
663,2021,Charles Leclerc,0
664,2018,Sergey Sirotkin,0
665,2019,Lando Norris,1
666,2020,Lando Norris,0
667,2021,Lando Norris,0
668,2019,Alexander Albon,0
669,2020,Alexander Albon,0
670,2019,George Russell,0
671,2020,George Russell,0
672,2021,George Russell,0
673,2019,Robert Kubica,0
674,2020,Nicholas Latifi,0
675,2021,Nicholas Latifi,0
677,2021,Mick Schumacher,0
678,2021,Nikita Mazepin,0
679,2014,Nico Rosberg,0
680,2015,Nico Rosberg,0
681,2016,Nico Rosberg,0
682,2014,Kevin Magnussen,0
683,2016,Kevin Magnussen,1
684,2017,Kevin Magnussen,0
685,2018,Kevin Magnussen,0
686,2019,Kevin Magnussen,0
687,2014,Jenson Button,0
688,2015,Jenson Button,0
689,2016,Jenson Button,0
690,2017,Jenson Button,1
691,2014,Fernando Alonso,0
693,2016,Fernando Alonso,0
695,2021,Fernando Alonso,0
697,2015,Valtteri Bottas,0
698,2016,Valtteri Bottas,0
699,2017,Valtteri Bottas,0
700,2018,Valtteri Bottas,0
701,2019,Valtteri Bottas,0
703,2014,Nico Hülkenberg,0
704,2015,Nico Hülkenberg,0
705,2016,Nico Hülkenberg,0
707,2018,Nico Hülkenberg,0
708,2019,Nico Hülkenberg,0
709,2014,Kimi Räikkönen,0
710,2015,Kimi Räikkönen,0
711,2016,Kimi Räikkönen,1
712,2017,Kimi Räikkönen,0
713,2018,Kimi Räikkönen,0
714,2019,Kimi Räikkönen,0
715,2021,Kimi Räikkönen,0
718,2015,Daniil Kvyat,0
719,2016,Daniil Kvyat,1
720,2017,Daniil Kvyat,1
721,2019,Daniil Kvyat,0
722,2014,Sergio Pérez,1
723,2015,Sergio Pérez,0
724,2016,Sergio Pérez,0
